fecha,mes,año,patente,km inicio,km termino,km recorrido,personal_id,cargo,turno,tipo he,horas extras,monto turno,monto he,monto a pagar
19-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
21-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
22-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
24-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
26-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
28-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
29-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
30-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
31-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
01-09-23,9.0,2023.0,HDXD 57,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
04-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
08-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
09-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
10-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
02-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
11-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
17-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
18-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
23-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
07-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,1.0,35000.0,4375.5,39375.0
05-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,2.0,35000.0,5834.0,40834.0
06-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,2.0,35000.0,5834.0,40834.0
25-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,2.0,35000.0,7292.5,42292.0
08-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,2.0,35000.0,7292.5,42292.0
01-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
03-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
07-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
08-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
14-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
28-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
29-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
30-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
31-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
01-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
07-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
17-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
02-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
05-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
06-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,GRE,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
14-07-23,7.0,2023.0,JSTG 66,153115.0,153115.0,0.0,GRE,conductor,dia,he dia,2.0,35000.0,5834.0,40834.0
11-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,HA,tens,dia,he dia,0.0,35000.0,0.0,35000.0
03-07-23,7.0,2023.0,HDXD 57,0.0,0.0,0.0,HA,tens,dia,he dia,0.0,35000.0,0.0,35000.0
04-07-23,7.0,2023.0,HDXD 57,0.0,0.0,0.0,HA,tens,dia,he dia,0.0,35000.0,0.0,35000.0
08-07-23,7.0,2023.0,HDXD 57,0.0,0.0,0.0,HA,tens,dia,he dia,0.0,35000.0,0.0,35000.0
01-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
08-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
09-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
12-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
15-08-23,8.0,2023.0,HDXD 57,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
16-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
19-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
24-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
26-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
29-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
30-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
31-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
01-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
07-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
01-07-23,7.0,2023.0,HDWX 84,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
03-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
05-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
08-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
